OMP 0
20 7.000e-06
100 8.490e-04
1000 7.251e+00
1700 3.795e+01
OMP 1
20 8.000e-06
100 8.530e-04
1000 7.286e+00
1700 3.820e+01
OMP 2
20 9.000e-06
100 4.430e-04
1000 3.751e+00
1700 1.966e+01
OMP 4
20 1.000e-05
100 2.570e-04
1000 1.887e+00
1700 1.003e+01
OMP 8
20 1.200e-05
100 1.330e-04
1000 1.006e+00
1700 5.300e+00
OMP 16
20 1.400e-05
100 1.110e-04
1000 7.948e-01
1700 3.992e+00
OMP 32
20 4.556e-03
100 4.712e-03
1000 5.689e-01
1700 3.112e+00
