Times are in seconds and are the cost per array element computed
n	sep op  	in file 	sep file	w+1     	restrict
10000	1.80e-09	1.30e-09	3.10e-09	3.20e-09	1.30e-09

real	0m3.466s
user	0m3.306s
sys	0m0.054s
