       250 1.111e-07 36.002 1.030
       250 1.125e-07 35.561 1.042
       250 1.099e-07 36.390 1.019
       250 1.109e-07 36.073 1.028
       250 1.102e-07 36.288 1.021
       250 1.097e-07 36.474 1.016
       250 1.092e-07 36.616 1.012
       250 1.096e-07 36.484 1.016
       250 1.092e-07 36.615 1.012
       250 1.131e-07 35.359 1.048
      1000 3.431e-07 46.637 1.016
      1000 3.456e-07 46.298 1.023
      1000 3.496e-07 45.764 1.035
      1000 3.478e-07 46.007 1.029
      1000 3.474e-07 46.058 1.031
      1000 3.407e-07 46.957 1.009
      1000 3.395e-07 47.130 1.005
      1000 3.395e-07 47.133 1.005
      1000 3.419e-07 46.797 1.013
      1000 3.373e-07 47.434 0.998
      5000 1.813e-06 44.132 1.058
      5000 1.866e-06 42.877 1.089
      5000 2.258e-06 35.430 1.316
      5000 1.815e-06 44.068 1.059
      5000 1.811e-06 44.170 1.057
      5000 1.805e-06 44.328 1.053
      5000 1.778e-06 44.988 1.037
      5000 1.792e-06 44.644 1.045
      5000 1.783e-06 44.864 1.040
      5000 1.772e-06 45.138 1.034
     10000 3.475e-06 46.047 0.963
     10000 3.483e-06 45.931 0.965
     10000 3.489e-06 45.862 0.966
     10000 3.525e-06 45.385 0.977
     10000 3.612e-06 44.301 1.001
     10000 3.683e-06 43.440 1.021
     10000 3.825e-06 41.826 1.060
     10000 3.751e-06 42.651 1.039
     10000 3.519e-06 45.466 0.975
     10000 3.468e-06 46.135 0.961
     50000 1.857e-05 43.088 0.930
     50000 1.845e-05 43.370 0.924
     50000 1.841e-05 43.453 0.922
     50000 1.905e-05 41.987 0.954
     50000 1.866e-05 42.880 0.934
     50000 1.900e-05 42.114 0.951
     50000 1.874e-05 42.687 0.938
     50000 1.866e-05 42.867 0.934
     50000 1.899e-05 42.135 0.951
     50000 1.878e-05 42.589 0.941
    100000 3.900e-05 41.022 1.171
    100000 4.225e-05 37.874 1.268
    100000 3.945e-05 40.557 1.184
    100000 4.056e-05 39.444 1.218
    100000 3.966e-05 40.344 1.191
    100000 3.927e-05 40.746 1.179
    100000 3.923e-05 40.789 1.178
    100000 3.928e-05 40.732 1.179
    100000 3.881e-05 41.230 1.165
    100000 3.994e-05 40.056 1.199
    500000 2.039e-04 39.227 1.020
    500000 2.040e-04 39.207 1.020
    500000 2.021e-04 39.576 1.011
    500000 2.026e-04 39.478 1.013
    500000 2.039e-04 39.234 1.020
    500000 2.079e-04 38.473 1.040
    500000 2.026e-04 39.478 1.013
    500000 2.042e-04 39.179 1.021
    500000 2.042e-04 39.182 1.021
    500000 2.062e-04 38.801 1.031
   1000000 4.086e-04 39.157 1.022
   1000000 4.104e-04 38.991 1.026
   1000000 4.183e-04 38.252 1.046
   1000000 4.159e-04 38.469 1.040
   1000000 4.271e-04 37.458 1.068
   1000000 4.239e-04 37.746 1.060
   1000000 4.122e-04 38.819 1.030
   1000000 4.309e-04 37.134 1.077
   1000000 4.030e-04 39.705 1.007
   1000000 4.021e-04 39.793 1.005
